,dJ
578,2.924741847256381e-13
579,1.2256663194110608e-12
580,1.616422171982694e-12
581,7.349661966476029e-14
582,5.461531262247724e-13
583,1.0362206707186688e-12
584,5.999329755250795e-13
585,1.0091544573061242e-12
586,1.4892327645742415e-12
587,1.997207349773157e-12
588,2.5922621273076082e-12
589,2.637830685063388e-12
590,1.2943388990077679e-12
591,1.1329683661165831e-12
592,1.6364357341172075e-12
593,5.265543300795587e-13
594,6.771630027121072e-13
595,9.808138738825096e-13
596,4.4157121244160056e-13
597,7.140078320355775e-13
598,2.95012711097993e-13
599,1.82946464096947e-12
600,3.8146783716662436e-12
601,3.873146205512922e-12
602,1.8592021726005135e-12
603,1.165632414090356e-12
604,1.440077922769665e-12
605,1.0468731724072486e-12
606,4.071689833590543e-13
607,8.667553595784498e-13
608,1.7477982734327223e-12
609,2.4638383706086213e-12
610,3.813070686124798e-12
611,4.022115004719546e-12
612,3.4257635833541584e-12
613,3.4292918125812294e-12
614,4.350361785497778e-12
615,3.154493888275616e-12
616,1.5922132726655057e-12
617,1.964943074021733e-12
618,9.251938931321115e-13
619,5.962617211681726e-13
620,8.859995988752547e-13
621,1.7057601461701763e-12
622,2.3853854231110995e-12
623,1.5119058552494204e-12
624,3.357541400294642e-13
625,2.4262909346955603e-12
626,4.823383415624483e-12
627,7.0057790753657535e-12
628,6.9004697700219954e-12
629,5.486005038256418e-12
630,5.479001557871907e-12
631,4.633886442889246e-12
632,2.2130317918277756e-12
633,1.3534993944287555e-12
634,4.350927895274911e-13
635,2.027628859680997e-12
636,3.808854412855287e-12
637,3.791847406444791e-12
638,2.757382175040361e-12
639,1.6431647551206163e-12
640,5.744560611713162e-13
641,1.1823857570775368e-13
642,1.1419466030162507e-12
643,4.852254633054568e-13
644,2.4532075238083732e-12
645,4.536651877853519e-12
646,5.074847802751515e-12
647,5.1287103964502494e-12
648,4.397919624753128e-12
649,4.408736395712485e-12
650,5.227986341270892e-12
651,6.3177622125110466e-12
652,5.730085460685815e-12
653,2.6062251771961394e-12
654,9.537911557966297e-13
655,1.1921479644058984e-12
656,7.838142018225189e-13
657,5.033606788688598e-13
658,1.8070012297966537e-13
659,2.294331368444803e-13
660,1.9615709283136017e-13
661,5.967728492391422e-13
662,5.596482823888366e-13
663,5.222976765614563e-13
664,4.847200649454577e-13
665,4.4691448113637386e-13
666,4.088799588821456e-13
667,3.7061553269373626e-13
668,3.321202373873388e-13
669,2.9339310844032196e-13
670,2.5443318183864137e-13
671,2.1523949428048097e-13
672,1.7581108332855771e-13
673,1.3614698649482032e-13
674,9.62462431222335e-14
675,5.610789326583524e-14
676,1.573097764202026e-14
677,1.4028252311001559e-11
678,2.1438625783773192e-11
679,1.4055933776193948e-11
680,1.2532038977053689e-11
681,1.1001758879549244e-11
682,1.0235077653218083e-11
